label,raw_positive_1,raw_negative_0,raw_uncertain_-1,raw_unmentioned_nan,binary_positive_after_policy,binary_prevalence_after_policy
No Finding,1834,3098,0,1200,917,0.2501363884342608
Enlarged Cardiomediastinum,16,66,4,3623,8,0.002182214948172395
Cardiomegaly,480,74,12,3383,240,0.06546644844517185
Lung Lesion,930,312,122,2984,465,0.12684124386252046
Lung Opacity,730,1416,268,2459,365,0.09956355701036552
Edema,156,524,26,3313,78,0.02127659574468085
Consolidation,66,2134,124,2504,33,0.00900163666121113
Pneumonia,194,220,170,3374,97,0.02645935624659029
Atelectasis,606,30,82,3307,303,0.08265139116202946
Pneumothorax,134,4488,122,1294,67,0.018276050190943808
Pleural Effusion,398,4996,160,889,199,0.05428259683578832
Pleural Other,74,4,6,3624,37,0.010092744135297326
Fracture,184,184,26,3469,92,0.025095471903982543
Support Devices,516,122,22,3336,258,0.07037643207855974
